Car Names,Mileages,Ratings,Reviews,used/certified,Price
2020 Cadillac XT5 Sport,"17,610 mi.",4.8,"(1,614 reviews)",Cadillac Certified,"$49,492.00"
2019 BMW 430 Gran Coupe i xDrive,"16,975 mi.",4.6,(223 reviews),Used,"$35,980.00"
2019 Mazda CX-5 Grand Touring,"33,410 mi.",4.5,(15 reviews),Used,"$29,998.00"
2017 GMC Acadia Limited Limited,"18,410 mi.",4.9,"(6,653 reviews)",Used,"$24,997.00"
2019 Honda HR-V EX,"38,708 mi.",4.8,"(1,019 reviews)",Used,"$23,850.00"
2021 RAM 1500 Longhorn,"13,289 mi.",5.0,(2 reviews),Used,"$63,000.00"
2019 Dodge Charger R/T,"6,977 mi.",4.4,"(1,157 reviews)",Used,"$27,400.00"
2019 Mercedes-Benz C-Class C 300,"76,682 mi.",4.8,"(1,047 reviews)",Used,"$34,333.00"
2021 Hyundai Venue SE,"15,505 mi.",4.4,(165 reviews),Used,"$18,000.00"
2019 Honda Passport Touring,"29,317 mi.",4.4,"(1,760 reviews)",Honda Certified,"$40,000.00"
2021 Mercedes-Benz GLA 250 Base,"21,867 mi.",4.7,"(1,210 reviews)",Used,"$40,496.00"
2020 Acura MDX 3.5L Technology & A-Spec Pkgs,"14,741 mi.",4.7,"(1,064 reviews)",Used,"$46,588.00"
2019 BMW 330 i,"21,460 mi.",4.1,(134 reviews),BMW Certified,"$39,988.00"
2018 BMW 330 i xDrive,"31,958 mi.",4.4,(515 reviews),Used,"$29,000.00"
2018 Cadillac XT5 Luxury,"37,361 mi.",4.5,(114 reviews),Used,"$31,037.00"
2019 Land Rover Range Rover Velar P250 S,"24,848 mi.",4.8,"(4,891 reviews)",Used,"$47,520.00"
2021 Porsche Macan S,"41,355 mi.",4.4,(52 reviews),Porsche Certified,"$73,498.00"
2021 GMC Yukon Denali,"13,320 mi.",4.5,"(1,070 reviews)",Used,"$84,994.00"
2020 Mercedes-Benz CLA 250 Base 4MATIC,"12,623 mi.",4.8,(409 reviews),Used,"$38,500.00"
2017 Dodge Challenger R/T,"13,829 mi.",4.2,(5 reviews),Used,"$35,899.00"
2018 BMW X1 xDrive28i,"42,056 mi.",4.5,"(1,439 reviews)",Used,"$21,991.00"
2019 BMW 330 i xDrive,Mileage,4.3,"(1,341 reviews)",Used,"$35,880.00"
